alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
benzalkonium chloride 1.5 mg/ml	benzalkonium chloride 1 5 mg ml	benzalkoniumchloride15mgml	2	1012712|1014350	SCDC	benzalkonium chloride 1.5 mg/ml|benzalkonium chloride 15 mg/ml
benzalkonium chloride 1.5 mg/ml topical foam	benzalkonium chloride 1 5 mg ml topical foam	benzalkoniumchloride15mgmltopicalfoam	2	1116729|2461972	SCD	benzalkonium chloride 1.5 mg/ml topical foam|benzalkonium chloride 15 mg/ml topical foam
benzalkonium chloride 1.6 mg/ml	benzalkonium chloride 1 6 mg ml	benzalkoniumchloride16mgml	2	2375838|2462800	SCDC	benzalkonium chloride 1.6 mg/ml|benzalkonium chloride 16 mg/ml
benzalkonium chloride 2.5 mg/ml	benzalkonium chloride 25 mg ml	benzalkoniumchloride25mgml	2	1046528|2288171	SCDC	benzalkonium chloride 2.5 mg/ml|benzalkonium chloride 25 mg/ml
benzocaine 1.5 mg	benzocaine 15 mg	benzocaine15mg	2	315469|437889	SCDC	benzocaine 1.5 mg|benzocaine 15 mg
benzocaine 2.1 mg/ml	benzocaine 21 mg ml	benzocaine21mgml	2	332568|343238	SCDC	benzocaine 2.1 mg/ml|benzocaine 21 mg/ml
benzocaine 2.5 mg	benzocaine 25 mg	benzocaine25mg	2	331181|437856	SCDC	benzocaine 2.5 mg|benzocaine 25 mg
benzocaine 7.5 mg	benzocaine 75 mg	benzocaine75mg	2	437858|437915	SCDC	benzocaine 7.5 mg|benzocaine 75 mg
beta carotene 1.5 mg	beta carotene 15 mg	betacarotene15mg	2	358433|358540	SCDC	beta carotene 1.5 mg|beta carotene 15 mg
beta carotene 1.5 mg oral capsule	beta carotene 15 mg oral capsule	betacarotene15mgoralcapsule	2	204903|411926	PSN|SCD	beta carotene 1.5 mg oral capsule|beta carotene 15 mg oral capsule|beta-carotene 15 mg oral capsule
beta carotene 1.5 mg oral tablet	beta carotene 15 mg oral tablet	betacarotene15mgoraltablet	2	204902|252375	SCD	beta carotene 1.5 mg oral tablet|beta carotene 15 mg oral tablet
bornyl acetate	bornyl acetate	bornylacetate	2	1491978|2395802	IN	bornyl acetate|bornyl acetate, (-)-
bromocriptine 2.5 mg	bromocriptine 2 5 mg	bromocriptine25mg	2	329605|752865	SCDC	bromocriptine 2.5 mg|bromocriptine 25 mg
bromocriptine 2.5 mg oral tablet	bromocriptine 2 5 mg oral tablet	bromocriptine25mgoraltablet	2	197411|752866	SCD	bromocriptine 2.5 mg oral tablet|bromocriptine 25 mg oral tablet
butylphenyl methylpropional	butylphenyl methylpropional	butylphenylmethylpropional	2	1307156|1664338	IN|PIN	butylphenyl methylpropional|butylphenyl methylpropional, (+)-
calcium carbonate 67.5 mg	calcium carbonate 67 5 mg	calciumcarbonate675mg	2	332653|476550	SCDC	calcium carbonate 67.5 mg|calcium carbonate 675 mg
calcium carbonate 87.5 mg	calcium carbonate 875 mg	calciumcarbonate875mg	2	1298186|332746	SCDC	calcium carbonate 87.5 mg|calcium carbonate 875 mg
calcium pantothenate	calcium pantothenate	calciumpantothenate	2	1792121|1918	PIN	calcium pantothenate|calcium pantothenate, (-)-
camphor	camphor	camphor	2	1648124|1952	IN	camphor|camphor, (-)-
camphor 1.5 mg/ml	camphor 15 mg ml	camphor15mgml	2	2606064|637036	SCDC	camphor 1.5 mg/ml|camphor 15 mg/ml
camphor 4.7 mg/ml	camphor 47 mg ml	camphor47mgml	2	384562|580197	SCDC	camphor 4.7 mg/ml|camphor 47 mg/ml
