alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
pyrimethamine 2.5 mg	pyrimethamine 25 mg	pyrimethamine25mg	2	316613|332960	SCDC	pyrimethamine 2.5 mg|pyrimethamine 25 mg
quinine 1.5 mg	quinine 15 mg	quinine15mg	2	437589|437774	SCDC|TMSY	quinine 1.5 mg|quinine 15 mg
revlimid 2.5 mg oral capsule	revlimid 25 mg oral capsule	revlimid25mgoralcapsule	2	1242233|643722	SY|PSN	revlimid 2.5 mg oral capsule|revlimid 25 mg oral capsule
rezipres 4.7 mg/ml injection	rezipres 4 7 mg ml injection	rezipres47mgmlinjection	2	2560092|2560098	SY	rezipres 4.7 mg/ml injection|rezipres 47 mg/ml injection
riboflavin 1.8 mg	riboflavin 1 8 mg	riboflavin18mg	2	349886|350537	SCDC	riboflavin 1.8 mg|riboflavin 18 mg
rilpivirine 2.5 mg	rilpivirine 25 mg	rilpivirine25mg	2	1102271|2678241	SCDC	rilpivirine 2.5 mg|rilpivirine 25 mg
rilpivirine 2.5 mg [edurant]	rilpivirine 25 mg edurant	rilpivirine25mgedurant	2	1102275|2678245	SBDC	rilpivirine 2.5 mg [edurant]|rilpivirine 25 mg [edurant]
salicylic acid 1.5 mg/ml	salicylic acid 15 mg ml	salicylicacid15mgml	2	1371357|340618	SCDC	salicylic acid 1.5 mg/ml|salicylic acid 15 mg/ml
salicylic acid 1.5 % topical solution	salicylic acid 15 topical solution	salicylicacid15topicalsolution	2	1244193|238466	SY|PSN	salicylic acid 1.5 % topical solution|salicylic acid 15 % topical solution
salicylic acid 1.7 % topical gel	salicylic acid 17 topical gel	salicylicacid17topicalgel	2	1050665|312880	SY|PSN	salicylic acid 1.7 % topical gel|salicylic acid 17 % topical gel
salicylic acid 1.8 % topical solution	salicylic acid 1 8 topical solution	salicylicacid18topicalsolution	2	2627647|2706381	SY|PSN	salicylic acid 1.8 % topical solution|salicylic acid 18 % topical solution
salicylic acid 1.9 mg/ml	salicylic acid 19 mg ml	salicylicacid19mgml	2	1547641|1594681	SCDC	salicylic acid 1.9 mg/ml|salicylic acid 19 mg/ml
salicylic acid 1.9 mg/ml medicated pad	salicylic acid 19 mg ml medicated pad	salicylicacid19mgmlmedicatedpad	2	1547642|1594682	SCD	salicylic acid 1.9 mg/ml medicated pad|salicylic acid 19 mg/ml medicated pad
salicylic acid 20 mg/ml medicated pad [stri-dex]	salicylic acid 20 mg ml medicated pad stri dex	salicylicacid20mgmlmedicatedpadstridex	2	1425554|797951	SBD	salicylic acid 20 mg/ml medicated pad [stri-dex]|salicylic acid 20 mg/ml medicated pad [stridex]
salicylic acid 20 mg/ml [stri-dex]	salicylic acid 20 mg ml stri dex	salicylicacid20mgmlstridex	2	1364389|797949	SBDC	salicylic acid 20 mg/ml [stri-dex]|salicylic acid 20 mg/ml [stridex]
salicylic acid 2.5 mg/ml	salicylic acid 2 5 mg ml	salicylicacid25mgml	2	334231|343176	SCDC	salicylic acid 2.5 mg/ml|salicylic acid 25 mg/ml
salicylic acid 2.5 mg/ml medicated shampoo	salicylic acid 2 5 mg ml medicated shampoo	salicylicacid25mgmlmedicatedshampoo	2	1537337|2586423	SCD	salicylic acid 2.5 mg/ml medicated shampoo|salicylic acid 25 mg/ml medicated shampoo
salicylic acid medicated pad [stri-dex]	salicylic acid medicated pad stri dex	salicylicacidmedicatedpadstridex	2	797950|968099	SBDF	salicylic acid medicated pad [stri-dex]|salicylic acid medicated pad [stridex]
salsolinol hydrochloride	salsolinol hydrochloride	salsolinolhydrochloride	2	1312374|2198978	PIN	salsolinol hydrochloride|salsolinol hydrochloride, (+/-)-
sennosides, usp 17.5 mg	sennosides usp 175 mg	sennosidesusp175mg	2	451426|451479	SCDC	sennosides, usp 17.5 mg|sennosides, usp 175 mg
sodium bicarbonate 20.0 mg/ml oral solution	sodium bicarbonate 200 mg ml oral solution	sodiumbicarbonate200mgmloralsolution	2	1119422|312972	SCD|SY	sodium bicarbonate 20.0 mg/ml oral solution|sodium bicarbonate 200 mg/ml oral solution
sodium chloride 3.5 mg/ml	sodium chloride 35 mg ml	sodiumchloride35mgml	2	2108509|2592645	SCDC	sodium chloride 3.5 mg/ml|sodium chloride 35 mg/ml
sodium fluoride 1.1 mg/ml	sodium fluoride 11 mg ml	sodiumfluoride11mgml	2	330226|336809	SCDC	sodium fluoride 1.1 mg/ml|sodium fluoride 11 mg/ml
sodium fluoride 1.1 mg/ml oral solution	sodium fluoride 11 mg ml oral solution	sodiumfluoride11mgmloralsolution	2	313037|315102	SCD	sodium fluoride 1.1 mg/ml oral solution|sodium fluoride 11 mg/ml oral solution
sodium fluoride 2.2 mg/ml	sodium fluoride 2 2 mg ml	sodiumfluoride22mgml	2	334390|630005	SCDC	sodium fluoride 2.2 mg/ml|sodium fluoride 22 mg/ml
spironolactone 2.5 mg	spironolactone 25 mg	spironolactone25mg	2	316728|451921	SCDC	spironolactone 2.5 mg|spironolactone 25 mg
stri-dex	stri dex	stridex	2	220049|968097	BN	stri-dex|stridex
stri-dex 20 mg/ml medicated pad	stri dex 20 mg ml medicated pad	stridex20mgmlmedicatedpad	2	1425554|797951	SY	stri-dex 20 mg/ml medicated pad|stridex 20 mg/ml medicated pad
stri-dex 2 % medicated pad	stri dex 2 medicated pad	stridex2medicatedpad	2	1425554|797951	SY|PSN	stri-dex 2 % medicated pad|stridex 2 % medicated pad
stri-dex medicated pad or tape	stri dex medicated pad or tape	stridexmedicatedpadortape	2	1180215|1180218	SBDG	stri-dex medicated pad or tape|stridex medicated pad or tape
stri-dex soap product	stri dex soap product	stridexsoapproduct	2	1295895|1364391	SBDG	stri-dex soap product|stridex soap product
stri-dex topical product	stri dex topical product	stridextopicalproduct	2	1296422|1296777	SBDG	stri-dex topical product|stridex topical product
sultilains 8.2 unt/mg	sultilains 82 unt mg	sultilains82untmg	2	335653|485730	SCDC	sultilains 8.2 unt/mg|sultilains 82 unt/mg
sultilains 8.2 unt/mg topical ointment	sultilains 82 unt mg topical ointment	sultilains82untmgtopicalointment	2	244518|485731	SCD	sultilains 8.2 unt/mg topical ointment|sultilains 82 unt/mg topical ointment
theophylline 1.6 mg/ml	theophylline 1 6 mg ml	theophylline16mgml	2	317512|335694	SCDC	theophylline 1.6 mg/ml|theophylline 16 mg/ml
thiamine 1.5 mg	thiamine 15 mg	thiamine15mg	2	349799|349807	SCDC	thiamine 1.5 mg|thiamine 15 mg
thiamine hydrochloride 1.25 mg/ml	thiamine hydrochloride 12 5 mg ml	thiaminehydrochloride125mgml	2	1314395|1314635	SCDC	thiamine hydrochloride 1.25 mg/ml|thiamine hydrochloride 12.5 mg/ml
thiamine mononitrate 1.5 mg	thiamine mononitrate 1 5 mg	thiaminemononitrate15mg	2	1090060|891520	SCDC	thiamine mononitrate 1.5 mg|thiamine mononitrate 15 mg
thiamine mononitrate 1.6 mg	thiamine mononitrate 1 6 mg	thiaminemononitrate16mg	2	1119562|1248244	SCDC	thiamine mononitrate 1.6 mg|thiamine mononitrate 16 mg
thyroid 16.25 mg oral tablet	thyroid 16 25 mg oral tablet	thyroid1625mgoraltablet	2	1537767|728581	PSN	thyroid 16.25 mg oral tablet|thyroid 162.5 mg oral tablet
thyroid 32.5 mg oral tablet	thyroid 325 mg oral tablet	thyroid325mgoraltablet	2	313389|347151	PSN	thyroid 32.5 mg oral tablet|thyroid 325 mg oral tablet
thyroid (usp) 16.25 mg	thyroid usp 16 25 mg	thyroidusp1625mg	2	1537766|728580	SCDC	thyroid (usp) 16.25 mg|thyroid (usp) 162.5 mg
thyroid (usp) 16.25 mg [nature-throid]	thyroid usp 16 25 mg nature throid	thyroidusp1625mgnaturethroid	2	1537768|728582	SBDC	thyroid (usp) 16.25 mg [nature-throid]|thyroid (usp) 162.5 mg [nature-throid]
thyroid (usp) 16.25 mg oral tablet	thyroid usp 16 25 mg oral tablet	thyroidusp1625mgoraltablet	2	1537767|728581	SCD	thyroid (usp) 16.25 mg oral tablet|thyroid (usp) 162.5 mg oral tablet
thyroid (usp) 16.25 mg oral tablet [nature-throid]	thyroid usp 16 25 mg oral tablet nature throid	thyroidusp1625mgoraltabletnaturethroid	2	1537769|728583	SBD	thyroid (usp) 16.25 mg oral tablet [nature-throid]|thyroid (usp) 162.5 mg oral tablet [nature-throid]
thyroid (usp) 16.25 mg oral tablet [westhroid]	thyroid usp 16 25 mg oral tablet westhroid	thyroidusp1625mgoraltabletwesthroid	2	1087008|1537771	SBD	thyroid (usp) 16.25 mg oral tablet [westhroid]|thyroid (usp) 162.5 mg oral tablet [westhroid]
thyroid (usp) 16.25 mg [westhroid]	thyroid usp 16 25 mg westhroid	thyroidusp1625mgwesthroid	2	1087007|1537770	SBDC	thyroid (usp) 16.25 mg [westhroid]|thyroid (usp) 162.5 mg [westhroid]
thyroid (usp) 32.5 mg	thyroid usp 325 mg	thyroidusp325mg	2	316828|349969	SCDC	thyroid (usp) 32.5 mg|thyroid (usp) 325 mg
thyroid (usp) 32.5 mg [nature-throid]	thyroid usp 32 5 mg nature throid	thyroidusp325mgnaturethroid	2	1301875|728586	SBDC	thyroid (usp) 32.5 mg [nature-throid]|thyroid (usp) 325 mg [nature-throid]
thyroid (usp) 32.5 mg oral tablet	thyroid usp 325 mg oral tablet	thyroidusp325mgoraltablet	2	313389|347151	SCD	thyroid (usp) 32.5 mg oral tablet|thyroid (usp) 325 mg oral tablet
thyroid (usp) 32.5 mg oral tablet [nature-throid]	thyroid usp 32 5 mg oral tablet nature throid	thyroidusp325mgoraltabletnaturethroid	2	1301876|728587	SBD	thyroid (usp) 32.5 mg oral tablet [nature-throid]|thyroid (usp) 325 mg oral tablet [nature-throid]
thyroid (usp) 32.5 mg oral tablet [westhroid]	thyroid usp 32 5 mg oral tablet westhroid	thyroidusp325mgoraltabletwesthroid	2	1087012|1087016	SBD	thyroid (usp) 32.5 mg oral tablet [westhroid]|thyroid (usp) 325 mg oral tablet [westhroid]
thyroid (usp) 32.5 mg [westhroid]	thyroid usp 32 5 mg westhroid	thyroidusp325mgwesthroid	2	1087011|1087015	SBDC	thyroid (usp) 32.5 mg [westhroid]|thyroid (usp) 325 mg [westhroid]
trimeprazine 2.5 mg	trimeprazine 2 5 mg	trimeprazine25mg	2	328755|452379	SCDC	trimeprazine 2.5 mg|trimeprazine 25 mg
trimeprazine 2.5 mg oral tablet	trimeprazine 2 5 mg oral tablet	trimeprazine25mgoraltablet	2	314237|429449	SCD|SCD|PSN	trimeprazine 2.5 mg oral tablet|trimeprazine 25 mg oral tablet
triprolidine hydrochloride 1.25 mg	triprolidine hydrochloride 1 25 mg	triprolidinehydrochloride125mg	2	1099642|1099721	SCDC	triprolidine hydrochloride 1.25 mg|triprolidine hydrochloride 12.5 mg
ulmus pumila pollen extract 10,000 unt/ml injectable solution	ulmus pumila pollen extract 10 000 unt ml injectable solution	ulmuspumilapollenextract10000untmlinjectablesolution	2	1299998|1314461	SY	ulmus pumila pollen extract 10,000 unt/ml injectable solution|ulmus pumila pollen extract 10000 unt/ml injectable solution
vitamin b12 2.5 mg	vitamin b12 2 5 mg	vitaminb1225mg	2	332418|654213	SCDC	vitamin b12 2.5 mg|vitamin b12 25 mg
vitamin b1 25 mg/ml injectable solution	vitamin b1 25 mg ml injectable solution	vitaminb125mgmlinjectablesolution	2	2001499|313328	SCD|SY	vitamin b1 25 mg/ml injectable solution|vitamin b12 5 mg/ml injectable solution
vitamin b 15 mg oral tablet	vitamin b 15 mg oral tablet	vitaminb15mgoraltablet	2	282761|313329	PSN|SY	vitamin b 15 mg oral tablet|vitamin b1 5 mg oral tablet
vitamin b6 12.5 mg	vitamin b6 125 mg	vitaminb6125mg	2	332601|746576	SCDC	vitamin b6 12.5 mg|vitamin b6 125 mg
vitamin e 1.5 unt	vitamin e 1 5 unt	vitamine15unt	2	333575|335856	SCDC	vitamin e 1.5 unt|vitamin e 15 unt
vitamin e 7.5 unt	vitamin e 75 unt	vitamine75unt	2	385528|749161	SCDC	vitamin e 7.5 unt|vitamin e 75 unt
westhroid 16.25 mg oral tablet	westhroid 16 25 mg oral tablet	westhroid1625mgoraltablet	2	1087008|1537771	SY|PSN	westhroid 16.25 mg oral tablet|westhroid 162.5 mg oral tablet
westhroid 32.5 mg oral tablet	westhroid 32 5 mg oral tablet	westhroid325mgoraltablet	2	1087012|1087016	SY|PSN	westhroid 32.5 mg oral tablet|westhroid 325 mg oral tablet
zinc acetate 1.2 mg/ml	zinc acetate 1 2 mg ml	zincacetate12mgml	2	334578|360823	SCDC	zinc acetate 1.2 mg/ml|zinc acetate 12 mg/ml
zinc gluconate 10.5 mg	zinc gluconate 10 5 mg	zincgluconate105mg	2	337280|337465	SCDC	zinc gluconate 10.5 mg|zinc gluconate 105 mg
zinc gluconate 2.5 mg	zinc gluconate 2 5 mg	zincgluconate25mg	2	337419|337440	SCDC	zinc gluconate 2.5 mg|zinc gluconate 25 mg
zinc gluconate 7.5 mg	zinc gluconate 7 5 mg	zincgluconate75mg	2	337466|452637	SCDC	zinc gluconate 7.5 mg|zinc gluconate 75 mg
zinc oxide 12.5 mg/ml	zinc oxide 125 mg ml	zincoxide125mgml	2	2280728|323963	SCDC	zinc oxide 12.5 mg/ml|zinc oxide 125 mg/ml
zinc oxide 1.8 % topical ointment	zinc oxide 18 topical ointment	zincoxide18topicalointment	2	1039181|1044412	SY|PSN	zinc oxide 1.8 % topical ointment|zinc oxide 18 % topical ointment
zinc pyrithione 1.25 mg/ml	zinc pyrithione 12 5 mg ml	zincpyrithione125mgml	2	2275630|333234	SCDC	zinc pyrithione 1.25 mg/ml|zinc pyrithione 12.5 mg/ml
zinc pyrithione 1.2 mg/ml	zinc pyrithione 12 mg ml	zincpyrithione12mgml	2	2634476|334151	SCDC	zinc pyrithione 1.2 mg/ml|zinc pyrithione 12 mg/ml
zinc sulfate 2.2 mg/ml	zinc sulfate 22 mg ml	zincsulfate22mgml	2	1650333|2003343	SCDC	zinc sulfate 2.2 mg/ml|zinc sulfate 22 mg/ml
z-pak	zpak	zpak	2	539819|750149	BN|SY	z-pak|zpak
z tuss	z tuss	ztuss	2	545942|857727	BN	z tuss|ztuss
z tuss oral product	z tuss oral product	ztussoralproduct	2	1186841|1186862	SBDG	z tuss oral product|ztuss oral product
